profileName,review/summary,review/score
McGee,Great Classic Literature!,5.0
A. M. Night,An Inside Look into the Depth of the Human Soul,4.0
"""jenniferbraun""",Don't be turned off by its huge reputation as great,5.0
Lily,The Scarlet Letter is a really good piece of Literature,4.0
"""carlos-andres""",Take It From A High School Student,4.0
Reve Warfield,A True Classic,4.0
elina mosquera,Thematically capturing!,4.0
emily custack,My thought on &quot;The scarlet letter&quot;,4.0
,Scarlet Letter,4.0
Andi Miller,One of the greats!,5.0
Fal,Classic...Yet Not a Favorite,1.0
,i did not like,1.0
,"Terrible book, do not read it.",1.0
Rhina,The Scarlet Letter by Nathaniel Hawthorne,1.0
lynn,Meaningless Drivel,1.0
,Worst. Book. Ever.,1.0
L. Turng,Who Chooses Classics?,1.0
SM,AAAAAAAAAA,4.0
,&quot;Hallelujah!&quot; is what I said when I finished this book,1.0
,Miserable...horribly dry &amp; unchallenging,1.0
Adele,Great story...difficult to understand.,3.0
,the letter,3.0
Ricardo,The Best Of Puritans,5.0
Sergio,Scarlet Letter,4.0
"Kindle owner ""bjkreyke""",a must read,5.0
Chad R. Reihm,Maybe the book was cheated...!?,4.0
"""jackiesdog""",Teachers: This is not his best novel,5.0
Betty,Human nature cannot be hidden away in an ideology,4.0
Julio R. Vargas-Vidal,Very good and very unlike the movie,5.0
Christine Nagaya,The Fiery color of passion,4.0
Stephanie,"Read the intro first, don't skip it like I did.",3.0
"Daveda J. Campbell ""tcmanifesto""",'tis what on thou breast Dimmesdale?,4.0
helga borgovsky,"The Scarlet Letter--ja, dat's goot eating!",5.0
"W. L. Rubink ""wrubink""",not kindle ready,1.0
Rebekah Dekker,Are you kidding me?,3.0
Crissy,classic,3.0
rocknmom,good,4.0
"bernie ""xyzzy""",Girls just want to have fun,3.0
Amanda Richards,Another classic accomplishment,5.0
Cyber Mom,The Scarlet Letter,5.0
,:) :( :|,4.0
,"Good, but not great.",4.0
,Great once you get into it!,5.0
,"Boring, very",2.0
,Boring,2.0
,"Although it was hard to understand, I enjoyed the book.",3.0
,Really Hard to Follow,2.0
,It was a good novel...,3.0
ahoffman@shearman.com,A fascinating look into another time's mores,5.0
,One word: outdated,2.0
,Grow Up,5.0
Leslie T.,Beautifully Written and Expressed,4.0
"tvtv3 ""tvtv3""",Significant As Ever.,5.0
Chris,Depends on what you like...,3.0
Nikk16,I was fored to read it too,2.0
DJ,Painful,1.0
"Rudy Avila ""Saint Seiya""",Appreciating The Scarlet Letter,5.0
Jeffrey S. Crockett,I don't remember buying this.,5.0
CMCmemorymaker,a tragedy,1.0
bunny,too had to read,2.0
Miss Lady,Simply the worse book ever.,1.0
"WHO Loves ya ""Diane D""",No Active Table of Contents,2.0
"C. Brandt ""I gave the propina to Guy.""","If you get past the first thirty pages, you'll be all right...",4.0
E. Chang,Not that spectacular,3.0
"Alice Ma ""mama""",Great,5.0
C. Smoot,The Scarlet Letter,5.0
,Dude! I mean Whoa!,4.0
Joaquin Acuna,Should not be a requirement in high school,1.0
Jermaine Evans,"It was like a bad dream, but I couldn't wake up",1.0
"""h0ney1112""",This book REALLY sucked!,2.0
LightBulb,Depth,5.0
Shikhee,AP English classes be damned!,5.0
Chris Haynes,Dark tale,3.0
Carolyn Davis,Bland,3.0
Benjamin,Ugh,3.0
Colin Meade,A remarkable introduction,5.0
"Donald Mitchell ""Jesus Loves You!""",The Roots of Our Double Standard,5.0
Siale,Your all Around Average Book,4.0
Gary Hoggatt,"Hawthorne just never pulled me into the story, and it's very slow - even by 19th century standards",1.0
"D. Osborne ""okibeanienut""",Landscape book,1.0
"D. Fineman ""dand@oxy.edu""",One of the greatest novels of world literature,5.0
Ryan Rogers,"A Passionately Written Book, But It Does Happen to Bore Me",4.0
Aramaki,A memorable book,5.0
Misfit,Even better when it's not required reading in school,5.0
"Lizwel ""lover of arts""",A Great Classic Read,5.0
"Michelle Devon ""~~Professional Dreamer""",Have times changed that much?,5.0
"Rebecca ""the Magnificent""","Good Storyline, Dull Writing Style",3.0
PUBLIUS,A Classic,5.0
Penn Jacobs,"The private, the public, and Hawthorne",5.0
Brankica,Excellent Read,4.0
AliciaWunderlich,Wonderful Book,4.0
Cynthia L. Banks,"Had to read for English class, I was pleasantly surprised!",4.0
JOHN QUINN,"The Scarlet Letter, not too shaby",4.0
Carolyn Carlson,Challenging the Norm in Puritannical America,4.0
Elizabeth Austin,Timeless,5.0
,Scarlet Letter,4.0
"Janet Morris ""fuzzypinkslippers""",Classic story...,4.0
dolly_,I revisited this book recently,5.0
Mari,A great story muddied by complicated writing,4.0
Alex Gilmour,"Good message, disinteresting prose",3.0
BookGirl,"THE SIMPLE CONCEPT OF SIN, TABOO",4.0
"M ""CultOfStrawberry""",Classic but clunky,4.0
Miguel Guerrero,Excellent gift,4.0
William,Great classic for the price,5.0
Elisa Wong,It was ok.,3.0
JH,Missing Custom House,2.0
Jeremy Richmond,Great novel,5.0
"Andrea Love ""nanajlove""",Modern Option,3.0
"M. Bennett ""Mel.2313""",Just as Expected,3.0
EM,Incredibly engrossing,4.0
"S. P. Raucci ""Sandy""",The Scarlet Letter,5.0
Maria B.,"Good quality, not as good in comparison to others.",4.0
dcasill4,Lolas rates,4.0
Reds Mom 19,No wonder it&#8216;s a classic.,5.0
Kelli,Good read,4.0
Blumare,Characterization in The Scarlet Letter,2.0
underemployed,A Good Start,4.0
Rebecca Carlson,Book Review,4.0
Tiff,Book.,5.0
Chairein,The Scarlet Letter,5.0
"Katie ""book worm""",A Story I've Never Forgotten!,5.0
"peter d pipinis ""mysticskeptic""",the dark on the hill,5.0
Matt Jacobs,"Interesting book, but still...",2.0
Avid Cook,the illiteracy of our generation,4.0
Jem,A true classic for me,5.0
Chad Fuller,"Detailed, Beautiful, Tragic, & Engaging",5.0
Whitney H.,The Scarlet Letter,5.0
"Alesha N. Gates ""Christian, Mother, Daughter,...",This is not the book you hated in high school . . .,5.0
Rebecca Hicks,It has withstood the test of time for a reason,4.0
HORAK,A classic American tale,5.0
"Jayne P. Bowers ""jayne bowers""",Hester and Little Pearl,4.0
Hayley,Book Review,5.0
"Michael Kitto ""from Literary Exploration""",The Scarlet Letter,4.0
Reader,AWesome,5.0
Dottie J,The Scarlet Letter e-Book,4.0
"Emily Dickenson ""Information Scientist""",I just don't get it.,2.0
Cnurse,Wordy Nathaniel,3.0
Christina New York City,"I read it as a young girl qnd loved it, but reread was different.",4.0
"Robert S. Newman ""Bob Newman""",Boston Gothic,3.0
Adrake,Digital version of orinal,5.0
Kayce,Interesting.,3.0
yllek420,Awesome,5.0
Josh,nice book,3.0
chelsey nichole Santiago,The scarlet letter,5.0
Cassie,one of my favorites,5.0
Savannah Brooke Weaver,The scarlet letter,4.0
Morgan Phillips,The Scarlet Letter,3.0
Carley,Review,4.0
chris kiolbasa,favorite classic,5.0
Gayle Lange,great thing,5.0
Madeline Chavez,LOVE IT!!!,5.0
Bergita Moore,Classic,5.0
TKC,Read condensed version years ago,5.0
Amber,Great!,5.0
Ceildgh,Classic,5.0
FL,Great,5.0
Hails242,Ehh,3.0
Samantha Castille,Great Classic book,5.0
Olivia,Best Tale of Scandal and Deceptjon,5.0
ReneeLaFave,A classic tale of sin and redemption.,5.0
Mike,A classic,4.0
Jessica Martin,My Impressions of The Scarlet Letter,4.0
"Chris ""chris88ace""",Childish Novel,1.0
,Horrible reader,1.0
Sailoil,A difficult read.,3.0
R. Schwartz,Puritanism Runs Amok Yesterday & Today in Modern Society,5.0
,ehhh no thanks,2.0
apple,Jeff the Scorned,1.0
,Ugh.,1.0
,This book was dumb,1.0
,Morality and the subordination of women,2.0
,"Good, but extremely wordy",4.0
Eric Wendt,Don't let that review turn you off!,4.0
Crystal,My opinion of The Scarlet Letter,4.0
,This book is the most boring book I have ever read.,1.0
,Avg. Rating too high,1.0
Robin,Received a different book,1.0
Brawlin,Oh my...,1.0
Feyno Tal,Far too little crime and fist fights,2.0
Beanie,It was OK,3.0
CMO,Get to the point already,2.0
"E. A Solinas ""ea_solinas""",The scarlet letter was her passport,5.0
NenetteU,Good book (but skip the intro),4.0
LUVA_MY_KINDLE,Classic of the classics,5.0
Mary R. Leblanc,Easy A,5.0
Jacob,Slow moving predictable story,2.0
A student,One of my least favorite english reads.,3.0
A. mancebo,hated the daughter,3.0
Jennifer S. Benavides,Great Book!!,5.0
Tisha Robinson,The Scarlet Letter by Nathaniel Hawthorne - EBOOK,5.0
Marcus Aurelius,Good recording,5.0
"Patrick W. Crabtree ""The Old Grottomaster""",Can't compete with peer works,3.0
"Lindsey Hamm ""Gidget""",Lovers of Classic Literature,5.0
"William Leung ""Mallory Leung""",A story of deceit and redemption,5.0
"A. Sauer ""May Contain Content Inappropriate f...",Simply a marvel,5.0
"April Calhoun ""Sam""","sin is life, life is sin",4.0
Michael N. Ryan,flawed people,5.0
"M. Galishoff ""drmlg""",The Agony of Unconfessed Guilt,5.0
"Betsy Ashton ""brynracer""","Glad I read it, but probably wouldn't read it again",3.0
A. Wallace,Too many typos in this edition,3.0
,The Scarlet Letter Review by Tazmania,3.0
,Definitely A Must Read,4.0
A Customer,Thank God for Cliffs Notes,3.0
Diva,A Different Angle,5.0
D. Litton,An original and very risky story for its time.,5.0
Imara,I hope all the English teachers out there read this,4.0
,Good book if you look into it.,4.0
,Great!!!!!READ ME READ ME READ ME!!!,5.0
,It is a good book that everyone should read at some point.,4.0
,Polarity and duality,5.0
Aims08,Horrific forced reading,1.0
"B. L. Rhodes Boswell ""unhappy""",Mistake?,1.0
,Not for everyone,3.0
,Nathaniel Hawthorne's The Scarlett Letter,3.0
Chris Salzer,Perhaps a little outdated,4.0
,If you read this book you will be amazed,4.0
,I read to pages of this novel and I had to stop!,1.0
"Silverwoodchuck47 ""silverwoodchuck47""",I don't get it.,1.0
jenny,I hate this book.,1.0
Tony Cheung,its as if I were reading the book itself.,5.0
"""scootyboy24""","Scarlet Letter, more like Scarlet Whateva!",3.0
M. Souders,Way too boring for me,1.0
"Alex ""Dark Mercenary""","This book is TERRIBLE! If you want REASONS not to read this book, read my review.",1.0
"Carri L. Shook ""Shookie""","Great plot, horrible writing!!!!!!!!",1.0
K. Barone,get it away,1.0
Sancho Perez,Hated every word of it!,1.0
kanshibutterfly,Scarlet Letter,5.0
"J. Gallino ""(www.johngallino.com)""",Overrated Pretentious Trash,2.0
"J. Lin ""Jeff Lin""",Boring and without substance,1.0
"Chelsie Lacny ""Chel""",The Scarlet Letter,3.0
Dan Cervone,Be careful here,3.0
Matthew Krichman,I knew I was in for a tough read when....,3.0
Nicholas J. Taylor,The Scarlet Letter,3.0
,By Sarah,5.0
,The Scarlet Letter,4.0
"A.Trendl HungarianBookstore.com ""What should ...",A Great Examination of Christianity,5.0
,Took Me A While....,5.0
shimmering2light,Not bad a plot...,3.0
Alex Gutierrez,"a rewarding, yet dragging book.",3.0
"""giacomo_casanova""",Insightful,5.0
,Be true,5.0
patnkelly@toad.net,A Classic for all times,5.0
,Deserving of the Masterpiece Title,5.0
,For an audience,3.0
,The Best!!,5.0
,Excellent,5.0
,A classic novel with a contemporary message,5.0
,"Great book, without the &quot;classic&quot; feel to it.",5.0
,"Great plot. Great classic, but doesn't read like one.",5.0
,Each read is like peeling layers of a rose,5.0
English buff,One of my favorite books!,4.0
,Present,5.0
Avid Reader,None of us are all-bad or all-good,5.0
"BJ ""BJ""","The ""Scarlet"" Letter",4.0
"Eric Wilson ""novelist""",Of Sin and Secrets,5.0
Harriet Klausner,Wayne Josephson provides a modernization of the syntax of language while adhering to Hawthorne's moral message,5.0
Grady Harp,Discovering the Jewels In The Scarlet Letter,5.0
J. Blackhorse,A Spiritual Masterpiece,5.0
Lauren Gharbawy,To Hester: Shame+ Sin= Strength and Pride,4.0
R. Swaney,Great Book,5.0
Scorched Earth,Classic for my Kindle Fire,5.0
Eric C. Blaydes,"Classic, must read.",5.0
The Scarlet Letter,I love the cover!,5.0
Delila_Edwards,The Scarlet Letter Review,4.0
Scrapple8,Puritan insights - and love all the extras!,4.0
Luciana,I expected a better one!,3.0
Ht,Text to speech,3.0
Jessica,Nice book,5.0
F. Iaria,Scarlet Letter,5.0
Avid Reader,The Scarlet Letter.,5.0
Brian P. Nielsen,"Great story, tough read",4.0
"Seng-ge Dorje ""ngakpasengge""",most importan novel found in American Literature,5.0
JLind555,A classic for all ages,5.0
Dennis Littrell,The first masterpiece of American literature,5.0
Big D,Still a Classic of the Human Heart...,5.0
"Shirley A. Phillips ""ocee""",Maturity helps,5.0
"Hairy Growler ""Hairy Growler""",underwhelming,2.0
"Adam Stephanus ""Adam Stephanus""",Penitence,5.0
CeeCee,The Scarlet Letter,3.0
trypanophobic34,Wonderful classic,5.0
French Bulldog,Scarlet Letter [Franklin Library 1979] FAUX Leather,5.0
E.J. Kaye,A better read as an adult -- not a great choice for teenagers...,4.0
romano3722,Scarlet Letter,4.0
Christopher Greffin,A masterwork.,5.0
JRT Fan,None,5.0
Brooke Holler,"The Scarlet Letter: Addicting, Capturing, and a Personal Favorite",4.0
Rebecca Graf,A Classic Worth Re-reading,5.0
Mimsy,Don't pay for this on the Kindle,1.0
Leigh T. Moore,"Dense, but so satisfying in the end",4.0
MelChama,Great Classic...,4.0
"Maritsa ""anything fun is worth knowing about""","A wonderful piece of literature, however",5.0
Lawrance Chung,A long dull drag to finish that does have its few moments,2.0
Timothy Liu,Great portrayal of the agonies of a guilty conscience,4.0
trypanophobic34,Wonderful classic,5.0
Ted Meyer,Strong Woman,4.0
Billy Shakes,The Scarlet Letter a must read for any American,4.0
"David ""Stan""",Great book,3.0
"xiloscient ""C Chasse""","Slow, Overwritten Drama",2.0
Jim Steele,Nothing special,2.0
Steven Hill,Good Book,3.0
Diane Mountford,Great Story ... Bad writing,2.0
"mrs_incredible7 ""mrs_incredible7""","Wonderful, wonderful",5.0
Kimberly Wells,A classic-- but not a quick read,4.0
Vicki Burdine,Scarlet review,4.0
Marion Lagana,The Scarlet Letter,5.0
Kate,A Classic Still Contemporary,5.0
Andrew,"Not Perfect, but...",4.0
Rosella Ann Myles,Very well written novel.,4.0
J. D. Lowrey,"YEAH, HE'S A CLASSIC WRITER, BUT THIS NOVEL IS NOT CLASSIC",2.0
James Yanni,"Surprisingly modern in tone, if not in language.",4.0
,Awful,1.0
Laszlo Matyas,"Startlingly overrated (in my opinion, anyway)",2.0
Malcolm Currie,The Scarlet Letter,3.0
"Margaret Broussard ""Maggie""",So boring,2.0
Jose Henriquez,Amazing Collector's Edition. Great Seller!,5.0
"Souvik Mitra ""S!""",Difficult but worthwhile read,4.0
French Bulldog,Telling apart Franklin Library editions of the Scarlet Letter,5.0
N. Shapero,Great buy for school,5.0
Phil in Magnolia,Outstanding Everyman's Library edition of The Scarlet Letter,5.0
"Ales newman ""Get it, got it, good :)""",Good Product,5.0
Chad Thomas,The okay book,2.0
,I HATE THIS BOOK,1.0
,Don't READ THIS BOOK!!,1.0
,If your looking to fall asleep than this is perfect 4 you !,1.0
,slowly falling asleep,1.0
"Laura Hans ""Laura""",one of the worst books I've ever read,1.0
"""javaholic1""",I only gave it a star because I had to.,1.0
Jesse,paralyzing fear,1.0
bosco,The Scarlet Letter: A soap opera,1.0
Sandra Andrews,The Scarlet Letter,5.0
,A sin to humanity,1.0
Trey Joseph,whewww where to start!,2.0
A Customer,forced to read the most horrible book ever,1.0
jen,Scarlet Letter,3.0
"""xocherryxo""",boring....,3.0
,This book is a wast of good paper,1.0
Sharon G. Dunn,scarlet letter,5.0
"Rex Butts ""Dinosaur for Hire""",Looooooooooooooooong.,2.0
JoAnne,Unable to Review,1.0
Evan T. Ackerman,Painful,1.0
"""sukiyaki02""","At closer look, a gem",5.0
,A Classic,5.0
,Don't let your highschool teachers force feed you classics,5.0
"mirope ""mirope""","Good literature, but not a pleasure read.",3.0
Jackie Lebowitz,Monica's Summer Reading,5.0
,Incredibly confusing; have a dictionary on hand!,1.0
,Save Yourself,1.0
C. R. Spence,Ick.,1.0
Y. Lin,wonderful book filled with insightful knowledge,5.0
Bert,The Scarlet Letter,4.0
rhiain@geocities.com,POWERFUL Portrayal of the depth of human emotion! SMASHING!!,5.0
,The Scarlet Letter as an appropriate Testement to All Ages,5.0
,"confusing, but good",4.0
,SAD,4.0
,The virtues of a despised classic,4.0
,Wonderfully written,5.0
,A Colossal Classic!,4.0
"Alan Malek ""novacom@mail.com""",an achievement of American literature.....which really hurts my perception of American Literature,2.0
,The Next Best Thing to a Sleeping Pill!,1.0
"R. Baker ""Squirrel""","One of the 19th Century American Classics---And Good, too!!",5.0
J. Canouse,"Good Book, Perfect Match",5.0
Martin Asiner,Sin--Like All of Life--Is Infinitely Elastic,5.0
MikeNM,Neither the best nor worst book ever,3.0
bubblyhayhay,great!,5.0
"David G. Douthitt ""ddouthitt""",Brilliant reading of a beautiful story,5.0
"Shalom Freedman ""Shalom Freedman""",A classic reconsidered - the perils of poor reading,5.0
EKD,"Good Novel, Just Excessive Language",4.0
,Beauty in simplicity,5.0
"B. Porter ""contrapunctus""",About the Scarlet Letter,5.0
"abt1950 ""abt1950""",Never thought I'd read this one again!,5.0
Jason Grim,Scarlet Letter,5.0
"J. Guion ""ex libris""",Scarlet Letter,5.0
High schooler,Amazingly helpful for my AP English class,5.0
Patricia A. Garcia,first Kindle book ordered,5.0
Jacqueline Melissa,100% Satisfied,5.0
The Runner,Beautifully Done,4.0
Buttercup,The Scarlet Letter,5.0
Jon W. Walker,Classics never go far away,5.0
Janice v. Chamberlain,American Lit,5.0
Rebecca,So Often Misunderstood,4.0
Crystal,Not one of my favorites. . .,3.0
Katherine Costa,Scarlet Letter by Nextext,5.0
J. Parks,Critique of American Culture?,5.0
"J. Gittins ""Chemistry instructor""",Deep human insight,4.0
"Aaishik Kar ""truthseeker""",Undoubtedly one of the greatest novels of all times,5.0
Erin Conti,"The Scarlet Letter, A Challenge and an Adventure",3.0
Emily Queen,The Symbolism In The Scarlet Letter,4.0
,A Great Book with a capital G and a capital B,5.0
,Not What it is Made Out to be...,2.0
C. Castillo,hate this new format,1.0
T.M. Chase,Good Book,5.0
"LoveMyKindle! ""Amy""",Wonderful,5.0
Christopher Fimmel,Who would of known,5.0
Faithann,The Scarlet Letter,4.0
LaineyoftheWindyCity,Haunting,5.0
Dr Morbius,Oppenheimer's choice,5.0
Kim Idol,The Scarlet Letter Rocks,5.0
tuey22,Letter Book,5.0
Ohioan,Superb Study of Character,5.0
French Bulldog,Telling apart the Franklin Library editions of the Scarlet Letter,5.0
Teacher Anna,Need a dictionary!,2.0
"""prestond""","Slow, but good",3.0
,I can't believe........,5.0
Sean Ares Hirsch,The 'Scarlet' Landmark in Literature,4.0
,Quite The Story .....,5.0
Minnie-ann,Once you get into this book it's awsome!,4.0
,This book is Great!,4.0
Matthew Teng,An Excellent Portait of Puritan New England,4.0
"Jessss ""Euchella""",A Gossipers Playland,5.0
Luc REYNAERT,Be true!,5.0
adjm1093,Ominous Details in Puritan Society,4.0
"E. A Solinas ""ea_solinas""",The scarlet letter was her passport,5.0
K.G.,The Scarlet Letter by Nathaniel Hawthorne,4.0
Erica V Nordberg,awesome!,5.0
Cilla,Very SMALL Book,4.0
Rock N. CA,A Classic,5.0
R. J. LaBarba,Good One Book Night of Entertainment,4.0
"L. Jodice ""fishgirl""",color,5.0
Tigerrider,My niece liked it,5.0
"Tony Dent ""TDentPA""",Red Letter Reading,5.0
"""lazyl51""",A Wonderful Example of Classic Literature.,5.0
Frank,Leave this one to the bibliophiles,2.0
Andrew M. Strnad,Pearl only brilliant part of book,3.0
Andy P.,"Well Written, Original, but soo Boring!",3.0
,"Yes, I was another victim who had to read this for school",2.0
Crusader,a book value,5.0
Augusto,A sinful past,5.0
Shirley Davis,Better than I remembered.,4.0
Rinji,School Reading,5.0
Heshema Belaki,Kindle freebies make me smile,5.0
Taisiz Munoz,:),5.0
kad,school resource,5.0
Jackson,"God almighty, this is boring.",4.0
Dr. Forrest M. Holly Jr.,High School Lit revisited,3.0
Lisa R,Classic,4.0
Lisa,I had to read it...,2.0
Nay,The Scarlet Letter,5.0
David Ploos,The Scarlet Letter,5.0
PinkieFairy,Scarlet Letter,5.0
evelyn,A Masterpiece for all times,5.0
Kathy,Book Report,4.0
Lauren,Happy,5.0
rbarban,Good read................. ............... .... ....... ........ .......... ......... ......... ......... ......... ..... .....,5.0
Cheryl A. Jenkins,An On line Read,5.0
Awesome Possum,Ugh... At least it was cheap :),5.0
Cindy,The scarlet letter,5.0
Juan Gonzalez,Ok,4.0
M. Aldrich,Great book,5.0
Gabook,Good Read,5.0
"Dee Richards ""deeanalyst""",What can you say about a classic?,5.0
Timothy,Injustice,3.0
Constance,Lovely Shipping and Quality,4.0
,Not interesting at all,2.0
patrick,This book is incredibly boring!,2.0
Ryan Lutgen,I Don't See the Big Deal,3.0
"""moomoopyschocow""",Moo Moo Pyscho Cow,5.0
Nikki,Amazing Masterpiece,4.0
,Both forward and backward in its ideas,2.0
,I am going to bring Hawthorne back from the grave to hit him,1.0
"""dysleixc""",Not Worth Reading,1.0
Michelle Y. Lee,"Korean drama, Puritan style",3.0
Pqasdy,The Scarlet Letter,3.0
"Matthew Chang ""Night Eyes""","Moderate....not the best, but not the worst......recommended for interested readers",3.0
Wilson,scarlet letter,4.0
"haile gebre ""Rahwa Gebre""","Hester, I Sympathize",4.0
shaylyn,pay attention,4.0
,Hester's Story,4.0
R. H. Carbajal,The Scarlett Letter,5.0
"nafisa ""nafisa""","The amazing story ""the scarlet letter""",4.0
Shoba Bharratt,Power to women,4.0
,THIS BOOK IS AWESOME!!,5.0
,This book is the most boring book I have ever read.,1.0
,it was very slow.,1.0
,It wasn't good,1.0
"Esther Schwartz ""rarely cook""",ugh,1.0
a person in a place,"A classic...but one of the worst books, ever.",1.0
"""naturalcurl""",How Can Sex and Sin Be So Boring?,1.0
A. McGehee,"Scarlette Letter, (Classic Collection Discs)",3.0
A. Apter,unfinishable,1.0
,American classic my ...,1.0
Eagle Eye,"A Call to Integrity, Honesty",5.0
Ana Mardoll,Classic Symbolism,4.0
Christopher H.,One of the best novels ever,5.0
KraftyKid,Complicated and involved story,5.0
RockTheMusic,Classic,5.0
Dalia Massen,Hawthorne's Masterpiece,5.0
Daniel Flucke,Useful for AP Lit,4.0
"Ruth Ann Nordin ""Historical Romance Author""",Timeless Classic,4.0
Iris Chen,A Scarlet A+!,4.0
"Scott A. Reighard ""Scott A. Reighard, Author,...",Patience pays off,4.0
Vicki Burdine,Scarlet review,4.0
"""bdeng5""","Very dry reading, but bearable",3.0
,Pretty Good.,4.0
Kathianne Calogero,chillingworth is the anti-christ,5.0
"Jonathan Alexandratos ""bookworm1010""",The Scarlet Review,5.0
Mrs. Szudik's AP Language Class 1BDF,AP Language Review for The Scarlet Letter,4.0
,One of the Greatest Books Ever Written,5.0
,I love this book,5.0
Cassie Dobb,Good.,4.0
Aelia,Purely a Masterpiece.,5.0
anyonymous,paperback in print!,5.0
R. Souviron (rhs@mail.duke.edu),Excellent description of the gaucho's life,5.0
anonymous,Warning,5.0
gus,Un clasico que no aburre,4.0
"Lawrence B. Bradburn ""guataba""","Martin Fierro, J. Hernandez",5.0
"""nlandoni""",I Recommed this Book,5.0
,El Gaucho De Nuestro Argentina,4.0
,I want to buy this book.,5.0
Shannon A. Kimbell Auth,Fantastic Book for Those Interested in Religious Liberty,5.0
Harriet Klausner,fun chick lit romp,4.0
"mwreview ""mwreview""","Readable, if Exaggerated, Bio on an Important &quot;Progressive&quot;",4.0
Jake,A Review of Eagle Forgotten,4.0
,Good bodybuilding book for women,5.0
chris visconti,The ultimate for women,5.0
"Christopher A. Andre ""chrian""","Good, but old",4.0
R. Padilla,Boring,2.0
Andi,This book is great!,5.0
June Elaine Fraser,Great Find!,5.0
keeesa,Great book,5.0
Eileen C. Fullbright,Highly recommended!,5.0
George Zee,A great memory book indeed!,5.0
Reianna K. Orange,A Book We All Need to Read.,5.0
Q. Benjamin,SUPERB BOOK!!,5.0
S. Rollins,Ranked above the Rest!,5.0
"C Davis ""Camille""","A must-read, must-have, must-hold on to book.",5.0
Cecil,Great read,5.0
"kellanne A ""kel""",kellyanne asher,4.0
rcbforyou,they should make a movie out of this book !!!!!!,5.0
Brent Holmes,"Great Book, Great Author",5.0
,"EASY READ,WELL CRAFTED SUSPENSE",5.0
JT,Dual Language- Selections from Don Quixote,5.0
Amanda C. Andrews,very helpful,5.0
fuzzy,My own personal bible,4.0
Omer Belsky,How Not to Write a Biography,2.0
"Watson McFestus ""Watson McFestus""",Just the basics,3.0
Joshua Brumbach,An Excellent Survery of Women Rabbis,4.0
William Timothy Lukeman,&quot;...it had the effect of a vision.&quot; - from the Introductory,5.0
Michele L. Worley,Excellent retellings of Greek myths,5.0
D. Cloyce Smith,"Even purged of their ""heathern wickedness,"" these tales are a delight",4.0
"Colleen R. Yeany ""dream135""",A little-known gem of thrills for all ages,5.0
K. K. Adams,Must-Have for Children's Library,5.0
"Eric Wilson ""novelist""",Magical Energy,5.0
"A Kid ""a kid""",Unreadable!,1.0
David Stanley,An Outstanding Guidebook,5.0
"S. Carr ""simon""",Adequate only,3.0
,A Must Read,4.0
,"A good companion to other guides,esp. for sights and history",4.0
,Very informative,4.0
K. Johnson,The Best,4.0
,...,1.0
Michael Driscoll,Inaccurate and outdated...Not recommended,2.0
,1996 edition of book is outdated,1.0
,Disappointing,1.0
John Hancock,Valuable specialized little book!,5.0
JIM,Wonderful,5.0
D. Blankenship,PROBABLY ONE OF THE BEST I HAVE READ ON THE SUBJECT OF CHRISTMAS,5.0
Steven H. Propp,AN INTERESTING COLLECTION OF HISTORICAL BACKGROUND TO CHRISTMAS,5.0
K. Barnett,Illegible,1.0
Juergpeter Huber,Most amazing book ever read,5.0
william john clark,THS ONE KEPT ME AWAKE...TURNNG THE PAGES!,5.0
M. Allen Greenbaum,3 1/2* Meet the Grandparents,4.0
Onyewu,Great alternative,5.0
B. Betty,Excellent book,5.0
skalpeshpatel@hotmail.com,Good book for understanding the Business Math,4.0
,Lyrical Memories of an Ordinary Man,5.0
,Storyline ....,5.0
,Catch it if you can,5.0
Christopher Mayo,Wish There Were More Books Like This,4.0
"Robert Albon ""I'm Just The Translator""",Hodge podge of O'Neill's decades-old letters,3.0
,"Must for any journalist, or aspiring activist!",5.0
"Timothy K. Fitzgerald ""Tim K. Fitzgerald""",A Restless Farewell for a National Figure of the 60s Movement,3.0
George Zee,The sine qua non of brain-based learning,5.0
,It Rises above the &quot;Fluff&quot; Books,4.0
H. Robles,Multilevel marketing meets education,1.0
"R. Fitzgerald ""educator""",A book that really helps teachers and students; it works!,5.0
,"Well-Researched, easy to read, practical",5.0
"R. Taylor ""raytayz""","""Pop"" psychology at its worse...",1.0
Joe Smith,Get off the dead horse of &quot;old school&quot; education,4.0
"PhD student ""Jen""",Easy read for brain information,4.0
"K. J. Kebarle ""wanderer""",Fuzzy around the edges,2.0
,Do not rely on Jenson's knowlege of science,1.0
"Lois P. Miller ""fsharp222""",Brain Based Learning: The New Paradigm of Teaching,2.0
"Frances B ""Frances""",Educational and ACTUALLY fun!,5.0
Sandra M. Cipriani,Maximize learning in the classroom,5.0
"""ljarvi""",From concept to application - it's all here!,5.0
"Kathleen Anne Mccown ""cool sub""",Brain based Learning,5.0
J. Fernandes,Every teacher should read,5.0
Linda Brown,Brain,5.0
L. P. Scott,Pop psychology at its worst,1.0
T. Jones,Good brain-based learning text,3.0
J.S.,book: Brain-Based Learning,4.0
Avid learner,I got what I asked for,5.0
brewzoo5,Brain-Based Learning is outstanding,5.0
M. Plante,"""Science""",1.0
Nicky Vanvalkenburgh,"""Brain Based Learning"" is a masterpiece",5.0
,Just another stupid educational fad,1.0
"D. Geppert ""caring teacher""",This explains a lot!,5.0
Ginger King,Brain Based Learning,5.0
